iter	Passed	Remaining
0	1	147
1	2	133
2	3	123
3	5	120
4	5	105
5	7	116
6	7	105
7	9	113
8	10	105
9	10	98
10	12	105
11	14	104
12	15	103
13	17	108
14	18	107
15	19	102
16	21	106
17	22	101
18	22	97
19	25	101
20	26	100
21	27	99
22	29	97
23	29	94
24	31	94
25	32	91
26	33	91
27	34	88
28	34	85
29	35	82
30	35	80
31	38	81
32	39	79
33	41	81
34	42	79
35	45	81
36	46	78
37	47	76
38	47	74
39	49	74
40	52	76
41	54	75
42	55	73
43	56	71
44	57	69
45	57	67
46	58	66
47	59	64
48	60	63
49	61	61
50	63	61
51	64	59
52	64	57
53	65	55
54	65	53
55	66	52
56	67	50
57	67	49
58	68	47
59	69	46
60	70	44
61	70	43
62	71	41
63	72	40
64	72	39
65	73	37
66	74	36
67	75	35
68	75	33
69	76	32
70	77	31
71	77	30
72	79	29
73	80	28
74	81	27
75	82	25
76	82	24
77	83	23
78	83	22
79	85	21
80	85	20
81	86	18
82	86	17
83	87	16
84	88	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	94	9
91	94	8
92	96	7
93	97	6
94	97	5
95	98	4
96	99	3
97	100	2
98	101	1
99	103	0
